ID	ENGLISH	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS	PHRASE	GLOSS
128	live/stay	5	live/stay	je // jə	“qɑ tɕəu-lɑ o-zů-ȵi qɑ ou-stu je qu-ɑ-wɑ,”	1sg home-LOC DIR-sit-ADV 1sg one:CL-alone live/stay afraid-1sg-EMPH
129	matter	4	matter	ʐə	“a: ke:-jə mɑ-ŋ̥u̥ə-ta ʐə me-w,	EXCL INDEF:CL-EXC NEG-COP-if matter NEG-exist
130	fire	4	fire	mə	ɕtɕiɕtɕaq-tou-ŋuəȵi ɦɑlɑ mə-lɑw-ʐɑχuɑ ɦɑ-nə-kui-tɕu,	magpie-DEF:one:CL-TOP INT fire-DEF:one:pile-inside DIR-sleep-NAR-PART
131	put	19	put	ɕi // ʂ // ʂə // ʑdʑy	χa-lɑ-hɑ jɑpə-le:-tɑ ə-tʂə-ȵiɑufu sɑq-phi-ke: ə-ʂə-kui-tɕu,	needle-DEF:one-pl hand-DEF:CL-LOC DIR-stab-LNK(as.soon.as) blood-flow-INDEF:CL DIR-put-NAR-PART
132	eyes	4	eyes	mi:	tʂhəqtʂhɑqtʂhəqtʂhɑq-lɑ-hɑ dɑ-ʂp-ȵiɑufu mi: dɑ-qə-kui,	(onomatopoeia)-DEF:one-pl DIR-explode-LNK(as.soon.as) eyes DIR-go-NAR
133	carry	8	carry	lie // tɕy	pəs-ŋuəȵi ʁoʁu lɑmpə lie-tu,	today-TOP ram’s.horn flower carry-LNK
134	3sg	4	3sg	the:	qɑ the:-sətsim hɑ-ŋ̥u̥ə-lɑ,”	1sg 3sg-wife DIR-COP-INDTV:1sg
135	girl	4	girl	tsi	ɦɑ-thu tsi-lou-ŋuəȵi ɦɑ ʁuɑχɑ-lɑ ɦe-zei ɦe-zei-ȵi thɑ ʐi-kəi-stũ,	INT-there girl-DEF:one:CL-TOP INT courtyard-LOC DIR-cry DIR-cry-ADV there exist-NAR-PART
136	woof	4	woof	ɦɑŋů	ɦɑlɑ “ɦɑŋů ɦɑŋů entɕi qutaq,	INT woof woof uncle’s.wife cluck
137	cluck	4	cluck	qutaq	ɦɑlɑ “ɦɑŋů ɦɑŋů entɕi qutaq,	INT woof woof uncle’s.wife cluck
138	listen	4	listen	xʂuɕtɕu	satʂů-le: tʂi-le:-ŋuəȵi ɦɑlɑ dʑy-le: wəstɑ u-xʂuɕtɕu-kui.	younger.sister-DEF:CL son-DEF:CL-TOP INT door-DEF:CL behind DIR-listen-NAR
139	hear // 1sg	4	hear:1sg	mɑ	ʐi-s-tɑ-ŋuəȵi qɑ ə-mɑ-ʂ,	exist-NOM-LOC-TOP 1sg DIR-hear:1sg-LNK
140	cart	4	cart	tʂhetsə	ɦɑ-tu tse: mi-tse:-ŋuəȵi ɦɑ-thɑ tʂhetsə-qu-tɑ sə-l-ȵi ʂputhuʂ tou-ʁɑ-ŋuəȵi keʴl-jy,	INT-RESULT this:CL person-this:CL-TOP INT-there cart-top-LOC DIR-look-ADV bamboo.tube DEF:one:CL-LOC-TOP ask-ASP
141	sign	4	sign	tʂi	“ɕtɕə-s-ʁɑ-ŋuəȵi tse: ʐmətʂi jin-ne: ɑ-zə χqu ɦɑtə u-ʐmu-ȵi i-tʂi-s-le: ŋuə-ʂ,	seven-day-LOC-TOP this:CL emperor monk’s.robe-DEF:CL one-little difficult INT DIR-dream-ADV DIR-sign-NOM-DEF:CL COP-LNK
142	live treasure	4	live.treasure	χuopɑu	qɑ tse: tsəpɑu-le: mɑ-ŋ̥u̥ə-ʂə χuopɑu-le: ŋuə.	1sg this:CL inanimate.treasure-DEF:CL NEG-COP-LNK live.treasure-DEF:CL COP
143	book	4	book	ləɣz	ɕtɕə-p le-ȵi ləɣz ɑ:-su-k-wɑ.	seven-years exist-ADV book DIR:INDTV-study-go-DTV
144	study	4	study	su	ɕtɕə-p le-ȵi ləɣz ɑ:-su-k-wɑ.	seven-years exist-ADV book DIR:INDTV-study-go-DTV
145	saddle	5	saddle	gantsə // gɑntsə	gɑntsə χuɑ-m ɦɑlɑ ʐi-kəi.	saddle sell-NOM there exist-NAR
146	tie up	4	tie.up	χʂ	ɦɑ-tu tshəntitɕhin lə nə-χʂ-ku.	INT-RESULT Chen.Diqing also DIR-tie.up-NAR
147	talk	4	talk	ʐ	ʂku-ʐ pu-jy,123 ɦɑ-tsəi ʂku-ʐ ɦo-pu-ȵi,	orangutan-talk do-ASP INT-this.manner orangutan-talk DIR-do-ADV
148	very many	4	very.many	qusu	jautsan dʑemi tse:-wu χaiʂə lɑupeɕi lə qusu ə-tʂən-thɑ,	man.eating.demon Dʑemi this:CL-AGT †(still.is) †ordinary.citizens also very.many DIR-kill-AUX
149	bezoar	4	bezoar	ȵiuχuɑn	ȵiuχuɑn-ŋuəȵi ɑ-tɕ,	bezoar-TOP one-catty
150	heaven	3	heaven	mutu	mutu-lɑ mujuqů ʐguə-zi we-i,	heaven-LOC sun nine-CL exist-HS
151	later	3	later	steke	steke-tɑ mi peʴʐə-s ŋuə-χuɑ-ȵi,	later-LOC people raise(child)-NOM COP-because-ADV
152	people	3	people	mi	steke-tɑ mi peʴʐə-s ŋuə-χuɑ-ȵi,	later-LOC people raise(child)-NOM COP-because-ADV
153	stone mill	3	stone.mill	dzuɑʁl	ȵutɕuku dzuɑʁl e-xʂe ɦei-bi-ȵi,	each stone.mill one-CL DIR-carry.on.back-ADV
154	one // family	4	DEF:one:family // one:family	louqpi // oqpi	ȵizzi oqpi pə-s,	3dl one:family do-NOM
155	release	7	release	ɕe // ɕi // ʂ	ɣlu-le: mi qes mɑ-ŋ̥u̥ə̥ ke: i-ɕi.	younger.sister-DEF:CL people form NEG-COP INDEF:CL DIR-release
156	Mutsitʂu	3	Mutsitʂu	mutsitʂu	mutsitʂu ȵɑ tugantʂu mutsitʂu ȵɑ tugantʂu zəpəq-tɑ ɦo-lu-ɑ:-ji.	Mutsitʂu COM Tugantʂu Mutsitʂu COM Tugantʂu earth-LOC DIR-come-PRS-CSM
157	Tugantʂu	3	Tugantʂu	tugantʂu	mutsitʂu ȵɑ tugantʂu mutsitʂu ȵɑ tugantʂu zəpəq-tɑ ɦo-lu-ɑ:-ji.	Mutsitʂu COM Tugantʂu Mutsitʂu COM Tugantʂu earth-LOC DIR-come-PRS-CSM
158	say	157	say	dʑe // dʑi // ji // jə	thəzzi-tɑ kə-ji,	3dl-LOC thus-say
159	China fir	3	China.fir	lu	ɑpə-xsə-ŋuəȵi themle lu-zu xsə-quɑt de-l-wei,	father-god-TOP 3pl China.fir-seed three-bushel DIR-give-HS
160	give	8	give	ke // l // le	ɑpə-xsə-ŋuəȵi themle lu-zu xsə-quɑt de-l-wei,	father-god-TOP 3pl China.fir-seed three-bushel DIR-give-HS
161	grow	4	grow	phi // ʂ	ɦe-gi-s-tɑ-ŋuəȵi tshəmɑ tə-ʂ-jy ŋuə.	DIR-short-NOM-LOC-TOP thorn DIR-grow-ASP COP
162	sit	7	sit	dzu // zu // zů	“qɑ tɕəu-lɑ o-zů-ȵi qɑ ou-stu je qu-ɑ-wɑ,”	1sg home-LOC DIR-sit-ADV 1sg one:CL-alone live/stay afraid-1sg-EMPH
163	answer	3	answer	ʐgue	kɑpətʂ tou he-ʐgue-kəi,	orphan DEF:one:CL DIR-answer-NAR
164	make(friends)	3	make(friends)	se	gul ɦe-se-kəi-tu,	companion DIR-make(friends)-NAR-LNK
165	bed	3	bed	nəʂ	qusɑp-tou-ŋuəȵi ɦɑlɑ kɑpətʂ-tou-pienɑ-lɑ nəʂ-te:-pienɑ thɑ ɦɑ-nə-kəi,	scissors-DEF:one:CL-TOP INT orphan-DEF:one:CL-beside-LOC bed-DEF:CL-beside there DIR-sleep-NAR
166	one // pile	3	DEF:one:pile	lɑw	ɕtɕiɕtɕaq-tou-ŋuəȵi ɦɑlɑ mə-lɑw-ʐɑχuɑ ɦɑ-nə-kui-tɕu,	magpie-DEF:one:CL-TOP INT fire-DEF:one:pile-inside DIR-sleep-NAR-PART
167	water jar	3	water.jar	ʂuətʂhuɑ	noʁu-le:-ŋuəȵi ɦɑlɑ ʂuətʂhuɑ ʐɑχuɑ ɦɑ-nə-kui,	crow-DEF:CL-TOP INT water.jar inside DIR-sleep-NAR
168	pound	3	pound	tɕite	thəl-le:-wu ɦe-tɕite ɦe-tɕite,	stone.pestle-DEF:CL-AGT DIR-pound DIR-pound
169	walk	3	walk	sei	upu-bəs-te: tɕiqə:ʴ ʂua:m-ke: sei-k-kui,	uncle-snake-DEF:CL before very.long-INDEF:CL walk-go-NAR
170	stone pile	3	stone.pile	qhaʴʁue	upu-bəs-te: ɦɑ qhaʴʁue-lɑw-ʁɑ i-pə-k- tu,	uncle-snake-DEF:CL INT stone.pile-DEF:one:CL-LOC DIR-arrive-go- LNK
171	call	14	call	ʁoi // ʂp // ʂpi // ʂpu // ʂpə // ʐmə	tɕiquɑ-lɑ hɑ-lə-ȵi ɦɑlɑ tɕiquɑ-lɑ ʁoi-kə-m he-ɕi-kui-tɕu.	inside-LOC DIR-come-ADV INT inside-LOC call-go-NOM DIR-send-NAR-PART
172	(sound of chicken)	3	(sound.of.chicken)	qutaq	“entɕi qutaq.	uncle’s.wife (sound.of.chicken)
173	oink oink	3	oink.oink	ɦə̃ʴɦə̃ʴ	pie-le: hɑ-lə-ȵi “ɦə̃ʴɦə̃ʴ entɕi qutaq,	pig-DEF:CL DIR-come-LNK oink.oink uncle’s.wife cluck
174	grab	3	grab	tsəqɑ	qɑ-phusuluq-te: tə-tsəqɑ-ȵi mi: ɦɑ-tʂə-n-bɑ,	1sg-clothing-DEF:CL DIR-grab-ADV eye DIR-close-2sg-DTV
175	that is)	3	†(that.is)	tɕiuʂə	sawu-le:-tɕ-te:-ŋuəȵi tɕiuʂə,	older.sister-DEF:CL-GEN-DEF:CL-TOP †(that.is)
176	sheep wool	3	sheep.wool	ȵiu	ɦɑlɑ mɑ:-le:-wu ɑ-s-məqɑ-ŋuəȵi ɦɑthɑ ȵiu-ŋuəȵi ɑ-s pɑntɕin-wu pɑntɕin tə-tʂhə-ȵi ɦɑ-tsəi de-lde-ȵi110 ȵiu pɑtʂ de-lde-ȵi ɦɑlɑ,	INT Mama-DEF:CL-AGT one-day-each-TOP INT sheep.wool-TOP one-day half.catty-INST half.catty DIR-weigh-ADV INT-this.manner DIR-spin-ADV sheep.wool ball DIR-spin-ADV INT
177	half catty	3	half.catty	pɑntɕin	ɦɑlɑ mɑ:-le:-wu ɑ-s-məqɑ-ŋuəȵi ɦɑthɑ ȵiu-ŋuəȵi ɑ-s pɑntɕin-wu pɑntɕin tə-tʂhə-ȵi ɦɑ-tsəi de-lde-ȵi110 ȵiu pɑtʂ de-lde-ȵi ɦɑlɑ,	INT Mama-DEF:CL-AGT one-day-each-TOP INT sheep.wool-TOP one-day half.catty-INST half.catty DIR-weigh-ADV INT-this.manner DIR-spin-ADV sheep.wool ball DIR-spin-ADV INT
178	spin	3	spin	lde	ɦɑlɑ mɑ:-le:-wu ɑ-s-məqɑ-ŋuəȵi ɦɑthɑ ȵiu-ŋuəȵi ɑ-s pɑntɕin-wu pɑntɕin tə-tʂhə-ȵi ɦɑ-tsəi de-lde-ȵi110 ȵiu pɑtʂ de-lde-ȵi ɦɑlɑ,	INT Mama-DEF:CL-AGT one-day-each-TOP INT sheep.wool-TOP one-day half.catty-INST half.catty DIR-weigh-ADV INT-this.manner DIR-spin-ADV sheep.wool ball DIR-spin-ADV INT
179	truly	6	truly	ʁɑt // ʁɑtɕhi	ʁɑt ŋuə-k-ȵi,	truly COP-INF-ADV
180	birthday	4	birthday	shenʐə // sənʐə	sawu-le: wutɕupu-ŋuəȵi sənʐə bələ-s pe-kui-wɑ,	older.sister-DEF:CL husband-TOP birthday do-NOM become-NAR-EMPH
181	steal	4	steal	χquatʂ // χquɑtʂ	ɦɑlɑ-ŋuəȵi ɦɑ-tu satʂů-le:-tʂi-le:-wu “pənsə u-su-ɑ-ʂə” jə-m-le:-wu,111 gəs dɑ-qɑ-ȵi tə-χquɑtʂ-ȵiɑntɕi,	INT-TOP INT-RESULT younger-sister-DEF:CL-son-DEF:CL-AGT ability DIR-learn-1sg-LNK say-NOM-DEF:CL-AGT night DIR-go-ADV DIR-steal-after
182	soldier	3	soldier	gueʴ	ɦɑ-tu tse: juɑnʁuɑi-le:-ŋuəȵi gueʴ ʐi-ʐə-kəi-ʂə,	INT-RESULT this:CL emperor-DEF:CL-TOP soldier exist-CAUS-NAR-LNK
183	little	6	little	zə // ɕi	ɦɑ-thu-ŋuəȵi ɕi-la: ataʐ-ʂɑ,	INT-there-TOP little-DEF:one:CL fast-HORT
184	fast	8	fast	ataʐ // ataʐə // jəsai // khuɑi // uɬu	ɦɑ-thu-ŋuəȵi ɕi-la: ataʐ-ʂɑ,	INT-there-TOP little-DEF:one:CL fast-HORT
185	morning	3	morning	otsůquɑ	“otsůquɑ-ŋuəȵi dɑ-ʁ dʐə-m,	morning-TOP DIR-go able-NOM
186	message	3	message	phə	ɦɑlɑ tɕetɕi-le: wu phə hɑ-ɸə-s-tɑ-jɑntɕi,	INT everywhere-DEF:CL all message DIR-blow-NOM-LOC-after
187	top	10	top	məq // q // qu // quə // qə	ɦɑ-tu tse: mi-tse:-ŋuəȵi ɦɑ-thɑ tʂhetsə-qu-tɑ sə-l-ȵi ʂputhuʂ tou-ʁɑ-ŋuəȵi keʴl-jy,	INT-RESULT this:CL person-this:CL-TOP INT-there cart-top-LOC DIR-look-ADV bamboo.tube DEF:one:CL-LOC-TOP ask-ASP
188	monk’s robe	9	monk’s.robe	jin // jən	ʐmətʂi jən-le:,	emperor monk’s.robe-DEF:CL
189	tomorrow	5	tomorrow	soqho // təp	soqho-ȵi-ŋuəȵi,”	tomorrow-ADV-TOP
190	notify	4	notify // †notify	thontʂə // thuntʂə	otsůquɑ-ŋuəȵi thuntʂə tu-pu-n-pɑ,	morning-TOP notify DIR-do-2sg-DTV
191	next	3	next	meʴʂ	ɦɑtɑ meʴʂ-tɑ-s-ʁɑ ʐmu ɦo-tsu.	INT next-DEF:one-day-LOC meeting DIR-hold
192	notice(n )	3	notice(n.)	ȵim	ɦɑ-tse:-ŋuəȵi ȵim hɑ-qə-stun,	INT-this:CL-TOP notice(n.) DIR-go-PART
193	side	3	side	xʂepi	ɦɑ-tsu tse-xʂepi ʐmətʂi jin do-ɣʐu-m-le:-wu ɦɑ-thɑ the-xʂepi-ʁɑ khuə-ŋuəȵi thɑ dɑ-l-ʐə-kui,	INT-here this-side emperor monk’s.robe DIR-lose-NOM-DEF:CL-AGT INT-that that-side-LOC dog-TOP there DIR-look-CAUS-NAR
194	anything	3	anything	iɣi	iɣi de-me-zde-kəi,	anything DIR-NEG-hit-NAR
195	hit	3	hit	zde	iɣi de-me-zde-kəi,	anything DIR-NEG-hit-NAR
196	shot	3	shot	phɑu	u-tɕu-jɑ-ȵi ɑ-phɑu qhu-ʂɑ.”	DIR-see-CSM:1sg-ADV one-shot shoot-HORT
197	shoot	5	shoot // †shoot	qhu // tɕhanpi // tɕhɑnpi	u-tɕu-jɑ-ȵi ɑ-phɑu qhu-ʂɑ.”	DIR-see-CSM:1sg-ADV one-shot shoot-HORT
198	kidney	3	kidney	ʂpəl	qɑ tshəntɕɑ qɑpə-tɕ ʂpəl ȵɑ ɕtɕi:mi sə-dza-tu,	1sg Chen.family old.man-GEN kidney COM heart DIR-eat:1sg-LNK
199	sworn brother	3	sworn.brother	lokun	lokun lokun phənjəu ɦe-se ŋuə.	sworn.brother sworn.brother friend DIR-make(friends) COP
200	goods	3	goods	χu	ɦɑ-tu χu ȵɑ thɑ-hɑn kuɑn-thɑ-m əzzi ʐi-kui.	INT-RESULT goods COM that:one-kind manage-AUX-NOM a.few exist-NAR
201	exhort	3	exhort	χte	ŋuəȵi sətsim-le:-tɑ-ŋuəȵi ə-χte-jy,	TOP wife-DEF:CL-LOC-TOP DIR-exhort-ASP
202	go // 1sg	3	go:PRS:1sg	kɑ:	ɦɑ-thɑ “ep-te: meʴʐ kɑ:,”	INT-there father-DEF:CL seek go:PRS:1sg
203	rest	3	rest	ʑdʑ	ə-zə ə-ʑdʑ-ʂɑ,”	one-CL DIR-rest-HORT
204	take out	3	take.out	xtʂe	ɦɑ-tu tə-xtʂe-kəi,	INT-RESULT DIR-take.out-NAR
205	sell	3	sell	χuɑ	gɑntsə χuɑ-m ɦɑlɑ ʐi-kəi.	saddle sell-NOM there exist-NAR
206	is possible)	3	†(is.possible)	khuoji	“khuoji təp-ȵi ʂe-ʁze-jə-u-ȵi ɑ-ʂ u-tɕu ŋuə lə khuoji,”	†(is.possible) tomorrow-ADV die-must-CSM-VIS-ADV one-time DIR-see COP also †(is.possible)
207	host/feed	4	host/feed	ɕtɕ // ɕtɕə	ɦɑlɑ tə-meʴʐ-ȵi dʐu-ŋuəȵi xsə-s dɑ-ɕtɕ-k-wɑ,	there DIR-seek-ADV guest-TOP three-day DIR-host/feed-INF-EMPH
208	immediately	3	immediately	kəntɑu	ɦɑlɑ kəntɑu ɦɑlɑ fusɑn-tu-pu-ȵi fɑ tə-l̥əlɑ-kəi-wɑ,	INT immediately INT help.up124-DIR-do-ADV clothing DIR-change-NAR-EMPH
209	earth	6	earth	zɑ // zəp // zəpəq	zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,	earth-DEF:CL WH-INDEF:CL become-CSM in.the.past-LOC
210	one	209	DEF:one // DEF:one:CL // INDEF:one // INDEF:one:CL // WH:one // one // one:CL	a // e // e: // i // ka: // kou // kɑ // la: // lo // lou // lɑ // lɑ: // lɑw // o // ou // ta: // tou // tɑ // ȵa // ȵe // ɑ // ɑz // ə	zuɑmə-ɸu o-ʐgu-tɑ i-pi-χuɑ-ȵi,	cypress-tree one-CL-LOC DIR-hide-because-ADV
211	carry on back	2	carry.on.back	bi	ȵutɕuku dzuɑʁl e-xʂe ɦei-bi-ȵi,	each stone.mill one-CL DIR-carry.on.back-ADV
212	roll	2	roll	ɣlu	ʁu-q-tɑ-wu ɦo-ɣlu,	mountain-head-LOC-ABL DIR-roll
213	bump into	2	bump.into	tʂetup	dzuɑʁl jə-xʂe e-tʂetup-tu,	stone.mill two-CL DIR-bump.into-LNK
214	as it happens	2	as.it.happens	qhuɑt	qhuɑt e-tʂetup-wei,	as.it.happens DIR-bump.into-HS
215	Mupitha	2	Mupitha	mupithɑ	ɑpə mupithɑ-ŋuəȵi,	father(god) Mupitha-TOP
216	time	48	time // †time	i // thən // tɑu // ʁza // ʁza: // ʂ // ʂə // ʂətɕian // ʂətɕiɑn // χui	thizzi kə ʁza-ʁa,	3dl go time-LOC
217	bushel	2	bushel	quɑt	ɑpə-xsə-ŋuəȵi themle lu-zu xsə-quɑt de-l-wei,	father-god-TOP 3pl China.fir-seed three-bushel DIR-give-HS
218	plant	3	plant	phi // ɸi	ɦɑ-ʁə-ȵi ʁopu ɦe-gi-s-tɑ i-phi-kəi,	DIR-go-ADV mountain DIR-low(short)-NOM-LOC DIR-plant-NAR
219	high	2	high	wi	ʁopu ti-wi-s-tɑ i-phi-kəi,	mountain DIR-high-NOM-LOC DIR-plant-NAR
220	livestock	2	livestock	poquʂ	nai poquʂ e-khe-χan de-tɕi-le,	other livestock one-hundred-kind DIR-CON-give
221	thousand	2	thousand	stu	ɑ-stu-χɑn phuxʂu-ŋuəȵi themle-steke ɑ-dzɑ-ʐ-ȵi.	one-thousand-kind wild.creatures-TOP 3pl-behind DIR-follow-CAUS-ADV
222	inside	13	inside	ků // tɕiq // tɕiquɑ // ʐɑχuɑ	mutsitʂu ȵɑ tugantʂu-ŋuəȵi ɕtɕi-ků tə-nɑ-wei,	Mutsitʂu COM Tugantʂu-TOP heart/mind-inside DIR-good-HS
223	song	2	song	zəm	gue:ʴ-tɑ kə ʁza-ʁɑ zəm ɦɑ-tshuə-ȵi,	road-LOC go time-LOC song DIR-sing-ADV
224	see	11	see	l // tse // tɕu	hɑ-l-ȵi mutu-lɑ tə-lə-ȵi tse-i,	DIR-look-ADV heaven-LOC DIR-look-LNK see-HS
225	wild animals	2	wild.animals	phuxʂu	ȵile-steke ɑ-stu-χɑn phuxʂu doqu-ʐ-ək tɕetɕi-lɑ du-fu-wei,	3plREFL-behind one-thousand-kind wild.animals frighten-CAUS-INF everywhere-LOC DIR-flee-HS
226	sow	2	sow	se	e-tʂequɑ de-tshe-ȵi lu-zu-lɑ-hɑ ʁopu ti-wi-s-tɑ de-se-ku,	DIR-remember DIR-wrong-ADV China.fir-seed-DEF:one-pl mountain DIR-high-NOM-LOC DIR-sow-NAR
227	short	2	short	gi	tshəmɑ we-tɕ səɸ-zu-lɑ-hɑ-ŋuəȵi ʁopu ɦe-gi-s-tɑ de-se-ku,	thorn exist-GEN tree-seed-DEF:one-pl-TOP mountain DIR-short-NOM-LOC DIR-sow-NAR
228	very	5	very	gən // kən // wa	thizzi zɑ-ʁə bəl-dʐə-wa-χuɑ-ȵi,	3dl earth-LOC do-able-very-because-ADV
229	mother	6	mother	ew // mɑ // əw	ep lə me-ʐi ew lə me-ʐi ke: ŋuə-kəi-tɕu,	father also NEG-exist mother also NEG-exist INDEF:CL COP-NAR-PART
230	exist // 1sg	2	exist:1sg	ʐa	ɦɑ “qɑ tɕəu-lɑ ou-tɕi me-ʐa-wɑ,	INT 1sg home-LOC one:CL-EXC NEG-exist:1sg-EMPH
231	stone mortar	3	stone.mortar	jankhui // jɑnkhui	jɑnkhui ʂəʂə:ʴwu i-pə-l-kui-tɕu.	stone.mortar exist:REDUP:all DIR-arrive-come-NAR-PART
232	be afraid	2	be.afraid	qu	“maha tɕo-qu-n-pɑ,	night NEG.IMP-be.afraid-2sg-DTV
233	arrange	2	arrange	gɑnphai	tu the-maha-ŋuəȵi tɕiu ʂəʂe:ʴwu ȵiɑntɕi gɑnphai-tu-pů-kəi-stu,	RESULT that-night-TOP †(then) exist:REDUP:all together arrange-DIR-do-NAR-PART
234	stab	2	stab	tʂə	χa-le:-ŋuəȵi ɦɑlɑ dʑy-le:-ʁɑ ə-tʂə-ȵi ɦɑlɑ dʑy-le:-ʁɑ ʐi-kəi,	needle-DEF:CL-TOP INT door-DEF:CL-LOC DIR-stab-ADV INT door-DEF:CL-LOC exist-NAR
235	child	2	child	tɕymi	tsou tɕymi-lou-tɑ zə-lɑ-kui-tu,	this:one:CL child-DEF:one:CL-DAT DIR-come-NAR-LNK
236	push	2	push	ɕtɕi	dʑy-la:-ʁa qeʴ ʂpɑʂpɑ dʑy-le:-tɑ dzeke i-ɕtɕi-kəi-tɕu,	door-DEF:CL-LOC before like/as door-DEF:CL-LOC (onomatopoeia) DIR-push-NAR-PART
237	blood	3	blood	sɑ // sɑq	χa-lɑ-hɑ jɑpə-le:-tɑ ə-tʂə-ȵiɑufu sɑq-phi-ke: ə-ʂə-kui-tɕu,	needle-DEF:one-pl hand-DEF:CL-LOC DIR-stab-LNK(as.soon.as) blood-flow-INDEF:CL DIR-put-NAR-PART
238	driping	2	driping	tuetue	sɑ tuetue-ke:-tɕi dɑ-qɑ-jɑntɕi,	blood driping-INDEF:CL-ADV DIR-go-after
239	explode	2	explode	ʂp	xsə ɕtɕiɕtɕɑq-lɑ-hɑ da-ʂp-jə-kui-stu,	new(again) magpie-DEF:one-pl DIR-explode-REP-NAR-PART
240	face	3	face	quaha // quɑha	quaha-lo-qu χuəlɑ kɑntɕhi-kəi-wɑ,	face-DEF:one-CL wash think/want-NAR-EMPH
241	wash	2	wash	χuəlɑ	quaha-lo-qu χuəlɑ kɑntɕhi-kəi-wɑ,	face-DEF:one-CL wash think/want-NAR-EMPH
242	peck	3	peck	tshuete // tshuɑq	noʁu-le-tɕi-wu tshuɑq tshuɑq dɑ-sə-ʐ,	crow-DEF-CL-AGT peck peck DIR-make.sound-CAUS
243	eye	3	eye	mi: // miɑuʁdʐue	miɑuʁdʐue-la:-ʁa i-tshuete-kui-stu.	eye-DEF:CL-LOC DIR-peck-NAR-PART
244	floor	2	floor	dʑiq	dɑ-ɬɑ buzd-le:-tɑ dʑiq ɦɑ-qə-i-stu.	DIR-slip plank.stairs-DEF:CL-LOC floor DIR-go-HS-PART
245	daugher	2	daugher	tsi	“ʔũ tsi-lɑ-hɑn qɑ e: de-mə-l-əs-te:-wu,	2sg daugher-DEF:one-kind 1sg one:CL DIR-NEG-give-NOM-DEF:CL-LNK
246	most	2	most	tɕi	tsi tɕi-χtʂɑ-le:-ŋuəȵi,	daugher most-small-DEF:CL-TOP
247	not as good as	2	not.as.good.as	qəstɑ	ʔũ-jɑpə-le: da-g-ʐ̥ə-qəstɑ,	2sg-hand-DEF:CL DIR-break-CAUS-not.as.good.as
248	momo(steamed bread)	2	momo(steamed.bread)	qhɑl	ɦɑlɑ qhɑl a-g̥u̥ə u-lu-kui,	INT momo(steamed.bread) one-basketful DIR-give.as.gift-NAR
249	basketful	2	basketful	g̥u̥ə	ɦɑlɑ qhɑl a-g̥u̥ə u-lu-kui,	INT momo(steamed.bread) one-basketful DIR-give.as.gift-NAR
250	chicken	2	chicken	tɕy	mi tɕiquɑ-lɑ-ŋuəȵi tɕy-le:-ŋuəȵi ʁoi-kə-m he-ɕi-kui-stũ.	person inside-LOC-TOP chicken-DEF:CL-TOP call-go-NOM DIR-send-NAR-PART
251	sound	2	sound	sɑ	xsə sɑ jə-kui-tɕu.	three sound say-NAR-PART
252	pig	2	pig	pie	pie-le: hɑ-lə-jə-kui-stũ.	pig-DEF:CL DIR-come-REP-NAR-PART
253	clothing	5	clothing	fɑ // phusuluq	qɑ-phusuluq-te: ɦe-ge-n-bɑ,	1sg-clothing-DEF:CL DIR-hold-2sg-DTV
254	sisters	2	sisters	tsisatʂů	tsisatʂů jə-zi ŋuə-kəi-wɑ,	sisters two-CL COP-NAR-EMPH
255	ball	2	ball	pɑtʂ	ɦɑlɑ mɑ:-le:-wu ɑ-s-məqɑ-ŋuəȵi ɦɑthɑ ȵiu-ŋuəȵi ɑ-s pɑntɕin-wu pɑntɕin tə-tʂhə-ȵi ɦɑ-tsəi de-lde-ȵi110 ȵiu pɑtʂ de-lde-ȵi ɦɑlɑ,	INT Mama-DEF:CL-AGT one-day-each-TOP INT sheep.wool-TOP one-day half.catty-INST half.catty DIR-weigh-ADV INT-this.manner DIR-spin-ADV sheep.wool ball DIR-spin-ADV INT
256	market	5	market	tʂhaq // tʂhɑq // tʂhə	ɦɑlɑ tʂhɑq-tɑ sə-ʁ-ȵi ɕi topu-wa-le: ŋuə-kəi,	INT market-LOC DIR-go-ADV wine like-very-DEF:CL COP-NAR
257	like	2	like	topu	ɦɑlɑ tʂhɑq-tɑ sə-ʁ-ȵi ɕi topu-wa-le: ŋuə-kəi,	INT market-LOC DIR-go-ADV wine like-very-DEF:CL COP-NAR
258	all	9	NOM:all // all	le:ʴwu // meʴwu // mə:ʴwu // neʴwu // wu	ɦɑ-kə ʔile-wu ɦe-dʑe lɑ-hɑn-neʴwu ə-m ɣʐə-tɕ,	INT-thus 2pl-AGT DIR-say DEF:one-kind-all DIR-hear able-NOM
259	oldr sistr	2	oldr.sistr	sawu	ɦɑ-tu sawu-le:-tɕ,	INT-RESULT oldr.sistr-DEF:CL-GEN
260	one // kind	2	DEF:one:kind	lɑχ	ʐmətʂi lɑχ “juɑnʁuɑi” ʂpə-x-ʂ,	emperor DEF:one:kind emperor call-INF-LNK
261	cowpen	2	cowpen	tɕaʁa	ʐbə-ŋuəȵi xsə-zi zə-p-ȵi tɕaʁa-lɑ ɦɑ-ʑdʑy-ȵi ʐi-ʐə-kui-tɕu.	yak-TOP three-CL DIR-buy-ADV cowpen-LOC DIR-tether-ADV exist-CAUS-NAR-PART
